StateAbbr,BPHIGH_CrudePrev,CANCER_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,TEETHLOST_CrudePrev
CA,30.8,6.0,6.0,17.1,10.4,35.3,29.1,35.4,13.7
CA,28.1,4.3,4.7,17.4,10.4,31.9,30.4,40.7,15.4
CA,20.3,5.3,3.4,9.0,6.4,27.7,18.4,31.7,6.0
CA,26.4,5.8,4.6,14.0,7.8,31.5,24.6,36.0,9.5
CA,28.1,6.6,5.6,14.7,8.8,34.1,25.2,30.6,11.3
CA,26.1,7.8,5.0,8.9,7.1,33.9,17.5,26.9,5.3
CA,26.0,4.7,4.6,13.4,10.8,33.0,24.8,38.0,10.9
CA,28.9,5.2,5.0,14.6,10.6,30.8,24.0,36.3,12.9
CA,27.0,6.2,5.1,13.8,8.7,33.4,24.2,35.1,11.1
CA,26.9,4.1,4.5,16.2,10.2,33.2,31.2,38.1,14.6
CA,24.4,5.4,4.6,13.0,8.3,32.7,20.9,31.9,9.4
CA,26.5,4.3,4.8,14.4,10.7,32.7,26.7,32.8,14.4
CA,27.3,4.6,4.8,17.2,10.8,32.6,28.1,39.6,13.6
CA,26.0,5.9,4.5,11.5,8.9,31.7,21.6,35.0,8.0
CA,26.8,3.6,4.7,18.4,10.7,31.4,32.3,41.5,18.6
CA,23.5,6.3,4.0,9.4,6.8,30.1,17.3,29.9,6.1
CA,25.9,4.2,4.6,15.5,11.0,32.5,26.8,39.1,13.1
CA,25.8,4.9,3.9,13.2,8.0,31.9,26.2,35.3,8.9
CA,30.6,7.5,6.8,16.6,9.4,35.6,23.6,32.9,12.9
CA,28.3,6.2,5.0,13.1,8.7,34.5,25.7,33.5,8.8
CA,22.4,6.0,3.5,10.1,6.4,29.7,19.0,32.6,5.1
CA,25.3,5.6,4.3,11.7,8.0,29.6,23.3,32.0,8.3
CA,29.2,4.2,4.9,17.1,11.3,34.0,33.2,39.4,17.0
CA,30.0,5.2,5.2,15.8,11.5,33.9,27.1,40.0,14.4
CA,26.4,4.9,4.8,15.9,9.1,31.9,27.3,38.1,13.6
CA,26.6,6.8,4.9,12.3,7.5,33.1,21.6,31.2,8.3
CA,30.3,5.2,5.3,15.9,10.1,32.1,26.3,34.6,14.1
CA,25.5,4.2,5.1,15.7,10.6,33.9,32.0,35.9,15.2
CA,31.5,4.4,6.0,20.1,12.7,36.0,34.6,40.1,19.3
CA,27.8,6.6,5.1,12.4,8.5,33.2,23.0,28.9,9.2
CA,24.1,5.3,4.1,12.3,7.7,30.9,21.9,34.7,9.3
CA,25.0,5.2,4.4,11.3,8.6,32.1,18.8,33.7,9.4
CA,23.2,5.0,4.0,11.5,8.7,30.6,20.5,35.1,8.9
CA,28.4,5.9,5.3,12.9,10.1,32.8,20.3,34.9,10.7
CA,24.8,5.6,4.6,13.7,8.0,31.8,23.6,35.1,11.6
CA,26.6,6.4,4.6,10.6,8.1,30.5,20.8,31.3,7.6
CA,21.2,5.4,3.1,8.8,6.2,29.9,16.8,33.2,4.9
CA,25.0,3.7,4.8,16.5,11.1,33.7,26.1,36.3,14.8
CA,26.6,6.3,4.9,11.7,8.3,32.7,23.8,30.8,8.9
CA,20.3,4.9,3.4,9.7,6.7,27.8,17.5,33.4,7.3
CA,24.3,5.8,4.1,12.8,7.7,31.4,21.8,34.8,7.4
CA,27.9,4.8,5.6,16.7,11.0,34.5,29.3,35.9,17.2
CA,24.3,6.8,4.2,10.0,7.0,30.8,19.5,31.7,5.5
CA,27.6,6.7,5.3,14.4,8.4,33.4,23.2,30.7,9.5
CA,25.8,6.0,4.3,12.1,7.7,31.9,21.5,29.2,8.6
CA,25.6,3.8,4.8,15.8,12.1,33.4,29.6,39.3,14.1
CA,30.6,5.0,5.8,17.0,12.0,35.1,28.3,37.9,16.4
CA,21.1,5.3,3.5,8.8,6.9,28.6,16.9,32.9,6.2
CA,24.8,5.4,4.1,13.8,7.3,30.5,24.2,36.1,8.9
CA,27.4,7.1,4.8,10.2,7.7,33.3,20.3,27.2,7.4
CA,26.3,6.5,4.4,10.0,8.5,33.5,17.3,34.6,6.2
CA,25.8,4.7,4.1,14.6,8.7,31.2,26.2,35.9,11.9
CA,28.5,5.9,5.5,15.8,9.3,33.8,27.3,34.2,13.1
CA,23.1,4.8,4.0,12.6,8.1,31.5,20.3,33.1,9.3
CA,25.0,4.8,4.1,11.0,9.3,31.4,16.5,35.2,8.8
CA,29.1,5.8,5.1,14.0,9.4,35.0,27.5,35.1,9.9
CA,27.4,5.8,4.9,14.6,8.7,32.3,27.5,33.8,10.4
CA,31.5,5.6,5.6,14.4,11.6,35.0,27.3,36.8,13.1
CA,30.5,4.7,5.5,19.1,11.2,34.6,33.1,39.7,16.8
CA,27.9,5.6,5.4,14.6,9.6,34.0,30.4,32.9,12.9
CA,25.5,5.3,4.8,15.6,8.5,32.4,25.9,36.4,13.2
CA,26.3,5.2,4.4,11.4,10.2,33.4,21.1,36.9,8.7
CA,29.6,5.4,5.8,14.2,11.9,38.0,18.1,35.8,12.3
CA,25.4,5.6,4.6,11.8,9.4,32.3,24.0,35.1,8.6
CO,25.0,7.1,4.8,16.0,6.5,33.1,21.0,26.4,9.7
CO,26.9,5.2,4.5,19.1,8.1,31.3,24.4,33.7,14.7
CO,17.5,4.7,3.4,13.4,4.1,25.5,15.9,25.2,8.6
CO,25.7,6.8,4.1,13.1,6.3,31.9,19.1,27.9,7.7
CO,24.6,6.0,4.8,18.0,7.2,33.4,22.2,30.1,12.4
CO,23.7,5.4,4.3,17.7,7.2,29.2,20.4,28.4,13.0
CO,18.5,5.1,3.6,15.2,4.8,25.5,18.0,24.4,9.6
CO,24.4,5.5,5.1,18.6,7.6,34.3,27.0,31.2,15.2
CO,24.9,6.8,5.0,16.3,6.8,33.0,21.3,26.8,10.5
CO,24.2,6.2,5.0,15.6,6.6,30.8,19.5,27.5,12.3
CO,24.9,7.3,5.3,15.4,6.7,30.6,19.6,24.6,10.2
CO,31.6,6.6,6.8,18.6,11.0,37.6,29.9,34.2,15.5
CO,22.0,4.7,3.8,18.2,6.6,29.7,25.0,32.0,14.0
CO,22.5,5.5,4.0,16.5,6.3,30.6,22.3,29.4,12.4
CT,30.2,5.1,5.8,20.7,11.3,34.6,31.5,40.8,16.5
CT,25.3,5.9,5.0,17.6,8.0,33.7,25.1,35.7,11.4
CT,34.8,4.6,6.1,23.1,13.5,35.8,36.7,41.9,24.8
CT,31.5,5.9,6.1,20.7,10.4,36.1,31.1,36.9,19.3
CT,30.7,4.8,5.0,19.4,10.5,31.9,33.1,42.3,16.6
CT,26.5,6.4,5.0,14.9,8.2,33.8,25.0,34.6,9.2
CT,26.0,6.3,4.9,14.1,8.0,33.3,24.3,34.5,9.6
CT,35.1,6.3,6.8,21.6,12.2,37.2,34.6,41.7,16.8
DE,37.6,5.6,6.2,22.9,13.9,35.2,36.7,44.2,19.9
DC,28.2,5.1,4.1,18.4,8.7,30.9,24.9,34.9,11.7
FL,28.9,8.2,6.5,12.1,8.6,38.6,22.2,33.2,7.8
FL,34.3,8.0,7.9,16.8,11.5,39.6,27.4,39.0,13.2
FL,31.4,7.4,7.0,19.1,10.6,36.1,26.8,33.3,12.6
FL,33.1,7.9,7.7,20.3,11.1,36.4,26.4,36.0,15.0
FL,27.3,5.7,4.7,16.2,9.0,34.4,26.6,36.8,9.9
FL,27.0,6.0,5.0,15.8,9.0,35.2,25.7,35.5,9.8
FL,36.6,8.2,8.2,19.4,12.8,40.3,29.1,37.8,14.6
FL,32.5,6.4,6.9,20.3,11.6,38.2,29.6,37.0,14.8
FL,34.0,6.9,6.8,18.8,11.8,38.1,29.4,37.9,12.1
FL,21.6,4.1,4.1,18.7,6.9,27.7,24.4,34.9,13.5
FL,33.9,5.6,8.8,16.6,17.1,41.6,30.6,35.9,15.6
FL,32.5,6.8,6.7,17.8,11.8,38.4,29.1,37.2,12.0
FL,33.3,5.9,6.0,20.5,10.6,35.5,31.2,37.9,15.9
FL,36.3,8.1,8.9,19.1,13.3,40.3,32.0,36.0,16.7
FL,36.1,9.0,9.2,20.9,12.1,39.0,26.1,35.4,16.5
FL,39.9,6.1,7.0,22.7,15.0,37.1,35.6,45.4,17.9
FL,32.9,7.9,7.7,19.0,11.2,39.6,30.0,36.5,15.0
FL,32.5,5.3,7.8,18.1,15.0,38.3,29.7,37.0,16.9
FL,27.0,5.8,6.0,14.6,10.2,34.9,24.4,32.9,10.2
FL,37.6,5.1,6.7,22.4,14.7,35.8,33.3,43.6,18.0
FL,28.6,4.5,4.0,15.5,10.3,31.9,29.9,40.6,10.8
FL,29.3,4.9,5.2,18.8,10.0,33.4,26.4,36.5,16.4
FL,33.5,7.0,7.3,21.3,12.0,39.4,33.1,39.0,16.0
FL,37.4,8.6,8.6,18.3,12.3,40.9,28.1,34.0,13.9
FL,30.3,6.5,5.8,13.5,11.0,36.1,26.7,36.1,11.5
FL,29.4,6.8,5.3,14.7,9.5,35.5,25.9,35.6,9.1
FL,36.7,7.7,8.1,20.8,13.1,40.3,30.5,38.7,14.5
FL,32.3,7.2,7.4,20.2,11.4,36.7,28.9,36.5,14.2
FL,32.5,7.0,6.9,20.9,11.1,34.6,27.4,37.8,15.4
FL,33.3,6.7,6.5,17.1,12.0,37.1,29.0,38.4,13.2
FL,23.3,4.4,4.0,18.9,7.3,27.5,27.4,36.5,12.1
FL,30.6,5.4,5.8,19.9,11.1,33.8,27.1,37.9,16.8
FL,31.9,6.5,6.9,16.9,11.4,37.7,28.3,39.9,13.5
GA,42.6,5.6,7.3,24.6,15.0,36.7,40.2,46.5,25.6
GA,28.4,4.2,4.5,19.9,8.5,31.0,29.0,37.3,18.2
GA,33.4,4.9,5.1,17.9,11.0,31.3,30.7,40.5,19.1
GA,39.4,5.6,6.6,22.2,13.5,36.1,35.8,43.9,22.9
GA,37.7,5.8,6.3,20.2,12.7,36.5,36.8,42.7,19.5
GA,26.8,5.5,3.6,11.4,7.1,32.5,21.4,34.1,7.0
GA,44.8,5.9,8.2,25.3,16.7,39.2,40.3,45.4,28.7
GA,28.9,6.2,4.5,13.4,7.7,33.4,25.1,33.8,8.1
GA,27.9,5.8,4.2,13.4,7.2,31.3,24.9,34.9,8.6
GA,38.1,5.5,6.1,20.6,12.8,35.3,36.7,44.0,22.2
GA,36.2,5.4,5.8,22.0,10.8,34.3,35.2,41.1,20.2
HI,31.5,5.6,4.3,14.0,9.3,36.0,21.7,47.4,7.1
ID,27.8,6.2,4.9,13.6,7.4,36.0,26.6,29.0,13.0
ID,26.6,5.9,4.4,13.7,6.9,34.5,26.9,29.1,12.1
ID,28.6,5.7,5.8,19.5,9.3,37.3,34.0,34.3,18.4
IL,29.4,7.9,5.6,12.5,7.8,36.4,24.7,29.6,8.9
IL,26.4,4.5,4.6,17.8,9.4,33.3,33.8,36.5,18.9
IL,27.1,5.9,4.8,15.9,7.8,32.3,29.8,33.4,14.0
IL,27.4,4.6,4.3,16.3,9.1,32.5,30.8,38.8,13.7
IL,22.5,4.2,3.6,17.5,6.5,30.7,27.8,33.4,13.2
IL,31.5,5.0,5.6,18.5,11.3,34.0,33.5,37.5,18.5
IL,27.4,3.8,5.3,19.8,11.5,35.0,36.9,37.8,20.9
IL,37.0,7.4,7.8,22.1,12.1,39.0,34.0,35.5,18.9
IL,27.4,5.1,5.0,17.5,9.3,35.1,33.1,35.7,15.8
IL,26.1,5.9,4.3,12.6,7.2,32.0,25.3,31.7,9.5
IL,28.4,5.1,5.2,19.4,9.5,33.3,33.2,38.8,17.0
IL,25.5,6.0,4.0,11.6,7.1,33.1,24.8,31.1,8.2
IL,26.3,6.1,4.6,14.6,7.5,34.0,26.4,31.8,9.7
IL,32.5,6.4,6.5,19.9,10.6,35.6,33.4,36.6,17.1
IL,34.9,6.7,7.3,21.6,12.0,39.0,36.6,36.8,20.4
IL,26.5,6.2,4.6,13.7,7.4,33.9,24.1,32.3,10.1
IL,33.2,7.0,6.4,19.1,10.2,37.8,31.6,34.3,15.5
IL,31.5,4.4,5.7,20.8,11.9,36.1,36.6,37.9,22.6
IN,19.6,3.9,3.7,20.4,5.3,29.3,25.6,34.6,14.1
IN,28.9,6.7,4.6,11.4,7.3,34.8,26.8,29.4,7.9
IN,33.8,6.9,7.6,22.8,11.4,37.9,35.1,38.7,19.1
IN,24.2,5.1,3.3,13.0,5.8,30.2,27.8,31.1,7.8
IN,32.2,6.3,6.7,20.9,10.7,37.2,31.8,36.1,16.2
IN,49.2,6.2,9.7,26.0,21.0,42.1,45.3,51.3,30.4
IN,34.5,5.7,7.3,23.3,13.0,39.1,36.6,43.7,22.9
IN,29.9,5.7,6.0,23.1,10.8,37.2,33.5,39.4,19.0
IN,28.8,6.0,6.1,22.0,9.0,36.7,35.3,37.9,17.7
IN,31.0,5.6,6.7,25.3,9.7,37.4,33.5,38.0,20.4
IN,36.2,6.4,7.6,23.3,12.3,37.9,36.4,40.3,21.3
IA,29.3,6.6,5.4,18.4,8.2,35.2,34.1,28.7,13.8
IA,29.2,6.6,5.8,19.6,9.1,36.7,35.7,32.9,14.7
IA,28.1,5.9,5.5,20.4,9.1,36.0,32.7,31.3,15.2
IA,19.3,4.3,3.4,17.1,5.4,28.3,25.2,27.0,10.3
IA,29.2,6.4,6.0,21.7,9.6,38.3,34.0,32.7,16.8
IA,33.1,6.9,6.5,20.6,10.5,37.5,35.0,32.9,16.4
KS,35.0,5.6,6.8,24.7,13.3,38.9,41.1,36.6,24.4
KS,20.4,4.5,3.6,17.3,5.5,28.4,27.9,27.9,12.2
KS,24.6,5.4,4.2,14.7,7.0,34.9,30.0,28.6,10.9
KS,26.7,6.7,4.8,11.7,7.4,37.2,27.7,26.5,8.7
KS,35.2,7.0,6.4,22.9,10.8,40.4,37.6,30.9,16.8
KS,31.8,6.2,6.0,21.5,10.3,39.3,35.9,32.6,18.2
KY,32.6,5.7,5.8,21.5,9.5,33.3,30.3,37.4,19.2
KY,39.7,6.7,7.5,25.9,11.8,37.8,35.1,37.6,19.0
LA,36.9,5.5,6.2,18.8,12.0,35.0,34.4,35.9,19.4
LA,36.0,6.2,6.7,20.1,12.4,39.2,35.4,37.5,16.3
LA,35.4,5.9,6.4,18.9,10.8,35.8,33.7,34.5,18.3
LA,41.5,6.4,7.6,23.1,13.8,39.2,40.3,38.3,23.0
LA,38.0,5.3,6.4,21.4,13.5,35.5,34.4,38.4,21.5
LA,42.8,6.2,7.4,23.2,13.9,39.1,39.7,40.3,21.4
ME,27.5,6.4,5.3,16.9,7.9,35.0,27.0,30.3,13.7
MD,38.1,5.6,6.3,24.8,13.6,34.7,34.0,44.2,20.1
MA,25.1,4.7,4.4,16.4,8.5,28.7,21.9,36.4,17.6
MA,36.0,6.4,6.8,24.8,11.6,35.5,34.4,45.6,24.7
MA,20.4,4.5,3.1,12.5,5.5,26.7,20.0,33.6,12.4
MA,34.3,7.0,7.7,26.2,11.3,39.6,32.3,43.4,28.5
MA,28.4,4.4,6.3,21.8,12.9,35.9,33.6,42.8,23.8
MA,28.3,5.2,5.3,20.3,9.7,34.8,25.1,38.7,23.0
MA,29.5,5.6,6.2,21.5,10.7,35.5,29.5,41.7,20.0
MA,34.5,6.9,7.7,25.6,11.9,39.4,33.2,44.0,28.0
MA,26.4,7.2,4.5,9.9,7.1,33.6,19.4,30.3,10.1
MA,29.4,6.4,5.3,15.9,8.4,33.8,20.9,36.7,15.0
MA,21.2,4.6,3.5,15.2,6.0,27.5,21.9,34.6,16.7
MA,31.7,5.4,7.2,23.8,12.8,36.0,35.7,43.1,24.6
MA,30.1,5.8,5.8,21.9,9.4,34.9,29.6,40.0,20.1
MI,19.1,4.6,3.4,15.5,5.6,29.3,21.3,31.0,7.4
MI,32.6,6.9,7.4,26.4,9.3,38.6,31.3,38.5,15.0
MI,46.6,5.6,8.7,31.2,17.4,39.9,44.7,50.5,25.7
MI,32.0,7.4,5.7,15.1,8.6,38.8,26.0,35.0,9.0
MI,41.0,5.6,8.5,31.6,15.8,40.5,41.6,44.0,25.4
MI,30.1,5.8,6.0,21.5,9.9,34.3,31.9,35.4,14.0
MI,26.4,4.9,5.4,23.6,8.6,31.8,32.6,34.4,15.4
MI,31.1,5.4,6.1,23.0,10.2,36.6,36.0,36.5,17.2
MI,32.3,8.3,6.5,17.9,8.0,38.6,26.7,34.7,9.1
MI,29.2,7.2,5.2,14.9,7.6,38.4,24.5,33.8,8.2
MI,41.7,7.0,6.8,18.6,13.2,39.6,35.1,42.5,13.3
MI,32.9,7.0,6.7,20.8,9.8,39.2,32.3,35.7,12.4
MI,29.7,7.0,5.3,14.5,8.0,39.1,23.6,34.0,8.5
MI,35.6,7.1,7.7,24.3,11.1,40.3,35.3,38.0,15.8
MI,33.6,7.0,6.7,24.3,9.3,38.0,31.4,39.8,13.7
MI,28.4,5.7,5.6,22.3,9.1,34.6,31.2,35.0,14.4
MN,27.8,7.6,5.4,14.2,7.8,34.3,22.8,28.1,7.9
MN,25.3,5.2,4.1,17.7,7.6,30.8,25.2,33.1,9.7
MN,24.9,6.4,5.6,20.4,8.0,32.3,28.4,30.1,13.4
MN,22.7,4.8,3.9,17.8,6.9,28.7,25.2,31.2,10.7
MN,23.6,6.6,4.1,12.2,6.3,31.3,21.4,27.0,6.0
MN,23.0,6.5,4.7,15.0,7.1,31.0,27.3,29.5,9.2
MN,23.5,5.5,4.6,19.9,8.2,29.9,26.0,31.3,13.3
MS,40.8,5.9,6.7,25.0,12.8,36.6,35.7,38.9,20.7
MS,43.9,5.3,6.4,23.1,14.8,34.7,39.5,43.6,24.0
MO,23.4,4.7,4.1,20.6,7.0,30.9,27.1,29.7,13.7
MO,34.5,7.5,7.6,23.9,11.6,42.8,35.1,33.0,18.9
MO,33.4,5.9,6.1,22.6,11.8,37.6,37.1,35.7,19.6
MO,28.9,6.9,5.2,17.2,8.4,37.7,31.2,30.6,12.1
MO,27.0,6.0,4.5,19.6,7.3,31.8,29.5,33.2,13.1
MO,33.9,6.9,6.9,24.9,10.8,39.6,34.0,37.3,21.3
MO,34.0,5.5,6.5,25.8,12.9,33.0,35.5,39.0,24.6
MO,30.4,6.6,6.6,25.2,10.0,36.6,33.9,33.6,20.5
MT,28.8,7.2,5.8,18.8,7.8,32.6,25.9,29.5,15.9
MT,20.9,5.7,4.5,19.4,5.9,30.0,22.3,29.0,13.4
NE,23.9,5.8,4.6,17.5,7.0,33.3,29.6,30.5,10.4
NE,29.4,6.1,5.4,21.3,9.2,35.0,31.7,32.6,13.9
NV,26.2,6.6,5.5,16.9,8.6,34.8,24.3,36.0,13.0
NV,27.4,5.8,6.0,20.0,10.2,35.1,27.8,39.0,18.1
NV,25.7,4.4,5.0,21.9,10.1,32.5,29.8,41.8,21.7
NV,27.0,6.0,5.6,20.2,8.6,37.4,24.5,33.6,16.2
NV,27.7,6.2,5.6,20.4,8.9,38.0,25.0,33.9,17.2
NH,28.5,6.4,5.7,20.1,8.8,34.6,29.2,36.5,16.3
NH,28.3,6.7,5.5,17.3,8.7,34.7,27.8,35.4,14.3
NJ,37.1,3.9,6.6,27.5,15.3,35.6,39.8,51.0,29.4
NJ,30.7,6.1,5.6,15.2,9.3,34.7,27.5,38.3,11.9
NJ,32.2,4.4,5.7,19.9,12.4,34.5,32.8,43.9,20.0
NJ,28.8,4.2,4.5,17.3,9.8,30.6,23.6,44.3,18.1
NJ,35.0,4.3,6.0,23.0,13.3,33.4,37.7,48.5,24.7
NJ,31.9,3.9,6.1,21.2,13.3,35.5,36.5,44.1,21.5
NJ,35.8,4.2,6.4,21.7,14.5,35.9,38.5,46.0,22.1
NJ,35.4,4.5,6.2,25.5,13.6,36.0,36.9,45.7,29.6
NJ,30.5,4.1,5.9,19.1,13.1,34.9,30.0,43.6,20.7
NM,26.5,5.7,5.3,18.0,9.6,34.7,25.7,32.7,14.1
NM,28.1,5.8,5.9,16.0,10.2,33.0,30.5,31.5,14.4
NM,25.7,5.9,4.9,16.4,8.3,31.4,25.8,32.2,13.0
NM,27.0,7.2,5.8,14.9,9.5,32.8,21.2,26.3,11.1
NY,28.9,5.3,5.0,19.6,8.9,32.1,28.0,38.6,16.6
NY,36.1,5.6,6.5,23.3,12.4,34.7,37.2,43.2,22.8
NY,35.6,6.0,6.1,18.2,12.6,36.9,31.0,46.4,17.5
NY,28.7,6.6,5.7,14.1,9.4,36.8,24.4,39.2,13.4
NY,28.4,5.3,5.3,16.4,10.7,34.4,24.7,41.0,15.9
NY,31.4,4.9,6.0,24.6,11.6,32.4,34.6,42.4,22.6
NY,31.2,5.9,6.1,23.7,9.7,35.6,30.8,41.3,19.5
NY,28.8,5.3,6.3,24.5,10.4,33.5,29.7,39.1,21.2
NY,29.6,6.3,6.1,16.2,10.5,37.9,26.2,40.7,14.3
NC,30.9,7.1,6.4,16.8,9.0,34.7,24.1,29.7,14.3
NC,25.2,5.7,4.1,12.3,6.7,31.6,20.6,28.7,9.2
NC,30.5,5.0,4.7,17.2,9.1,32.2,28.9,34.7,15.7
NC,32.5,6.0,5.9,19.9,9.4,33.6,31.7,33.9,18.4
